@relation song_type
@attribute 'danceability' numeric
@attribute 'energy' numeric
@attribute 'key' numeric
@attribute 'loudness' numeric
@attribute 'speechiness' numeric
@attribute 'acousticness' numeric
@attribute 'instrumentalness' numeric
@attribute 'liveness' numeric
@attribute 'valence' numeric
@attribute 'tempo' numeric
@attribute 'id' string

@data
0.791,0.37,1,-9.969,0.037,0.498,0.000861,0.0805,0.9,96.002,4psAEvNifmvWH7VlEf1SZ9
0.655,0.668,0,-6.733,0.0272,0.0398,0.0302,0.0759,0.867,93.003,4gZDCOFuLCxCRWNhSEcOtJ
0.486,0.457,2,-16.471,0.0461,0.794,0.0102,0.909,0.65,123.252,3DjqbHut8kj7jsEkTVI0Lo
0.349,0.917,0,-3.645,0.071,0.026,0.00000725,0.0968,0.206,164.036,7ppPZa3TRUSGKaks9wH7VT
0.641,0.533,7,-8.909,0.0287,0.279,0.0000606,0.113,0.364,95.776,6FloUWDjW3r51mRYyw0vv5
0.281,0.403,0,-15.872,0.044,0.974,0.15,0.132,0.227,72.897,0Fqmgk6dvs8lMLCAkGguJx
0.684,0.587,9,-7.772,0.0258,0.184,0.00119,0.119,0.466,115.066,16PeweyKsslOd2wnueVNFI
0.443,0.419,7,-7.975,0.0321,0.633,0.00183,0.404,0.0719,132.204,3MwHZDGwAR8RjZZBriBqmx
0.847,0.349,11,-8.502,0.0564,0.238,0.0244,0.0961,0.62,143.945,3p2oGJUNxxYxzmOsaiEMMv
0.295,0.329,0,-12.618,0.0325,0.974,0.721,0.086,0.255,186.411,29jmagcZbBFFJ7jDcsbfCW
0.372,0.237,1,-13.404,0.0369,0.938,0.425,0.103,0.0966,119.436,2PMo0BYsGBY2TgHJ5Gm4oT
0.484,0.301,7,-10.396,0.0451,0.912,0.00314,0.103,0.221,139.825,0P7GCKyCEugSVtpLOTl7v1
0.714,0.504,11,-10.323,0.0766,0.494,0.684,0.073,0.691,77.981,1SerYv7SabsGxVl0qIKES9
0.738,0.471,11,-9.208,0.402,0.319,0.00000128,0.13,0.283,107.98,4VYEnxm7lmtG5sEEbcmORB
0.858,0.426,10,-8.879,0.0402,0.00586,0.761,0.0977,0.419,89.981,1RJl5cZ8kFpoVFOS2x6scI
